Event ID,Family Name,Given or Other Name,Country,Title/Organization,Citation,Notes
2PanCong,"Phillips, Jr. ",C. H.,United States,"Bishop, C.M.E. Church; Missouri Negro Republican League Club","Geiss The Pan-African Movement 241; Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,"Phillips, Jr. ","Mrs. C.H. 
",United States,,"""110 Delegates""","Wife of C.H. Phillips, Jr."
2PanCong,Saklatvala,Shapurji,United Kingdom,Communist candidate for Battersea,Geiss The Pan-African Movement 244,"is this ""Mr. Satkalavara of India"" per Fauset, ""Impressions""?"
2PanCong,Santos-Pinto,,,,"Fauset, ""Impressions""",
2PanCong,SarolÌ©a,"""Madame""","Congo
",,"Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Sims,R.P.,United States,West Virginia Teachers' Association,"Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Sorelas,,Spain,General,"Fauset, ""Impressions""",
2PanCong,Spingarn,Arthur,United States,Captain; NAACP,"Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Spingarn,Mrs. ,United States,NAACP,"Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Sutton,"
",Sierra Leone,,"""110 Delegates""",
2PanCong,Tanner,Henry O.,,,"Fauset, ""Impressions""",
2PanCong,Taylor,J. Eldred,Sierra leone ,initiator of the African Times and Orient Review,Geiss The Pan-African Movement 243,
2PanCong,Thomas,Peter,Lagos,,"Geiss The Pan-African Movement 243; Fauset, ""Impressions""",
2PanCong,Tobias,C.H.,United States,"International Committee, YMCA","Notes from the 1919 Pan African Congress; ""110 Delegates""",This source actually refers to the 2nd Congress - it's mislabeled in the archives
2PanCong,Unwin,Mrs. Fisher,United Kingdom,,"""110 Delegates""",
2PanCong,Varma,,India,,"Fauset, ""Impressions""",
2PanCong,Webb,Beatrice,United Kingdom,rep. of the Anti-Slavery and Aborigines Protection Society,Geiss The Pan-African Movement 242,
2PanCong,Werner,Alice,United Kingdom,,"""110 Delegates""",
2PanCong,White,Walter F.,United States,NAACP,"Adi, Pan-Africanism 153; Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Williams,A. Wilberforce,United States,Chicago Defender,"Notes from the 1919 Pan African Congress [actually 1921]; Fauset, ""Impressions""; ""110 Delegates""",
2PanCong,Woolf,Leonard,United Kingdom,rep. of the Anti-Slavery and Aborigines Protection Society,Geiss The Pan-African Movement 242,
2PanCong,"Wright, Jr. ",R.R.,United States,A.M.E. Church,"""110 Delegates""",
2PanCong,Young,"Mrs. Charles
",France,,"""110 Delegates""",
